post,time,image,num of likes,num of comments,comments
"Narito po ang mga alituntuning kailangang sundin ngayong Enhanced Community Quarantine (ECQ) batay sa kautusan ng Inter-Agency Task Force at sa bisa ng Executive Order No. 20, series of 2021 ng Lungsod ng Maynila.",2021-08-06 00:32:36,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/231660529_1173478623136825_9197630955587275816_n.jpg?_nc_cat=1&ccb=1-4&_nc_sid=110474&_nc_ohc=N-TOh5pcUkwAX_SrFXP&_nc_ht=scontent.fmnl9-1.fna&oh=12a37ce0037f81ccded793021d2f51d5&oe=61344A73,2598,174,[]
"NAGBABAGANG BALITA: Ganap nang nakasailalim ang Lungsod ng Maynila sa “Enhanced Community Quarantine” simula ngayong araw, ika-6 ng Agosto, hanggang ika-20 ng Agosto.

#AlertoManileno #COVID19PH",2021-08-06 00:14:31,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/228807473_1173470393137648_4715100311868673497_n.jpg?_nc_cat=103&ccb=1-4&_nc_sid=110474&_nc_ohc=HPgaq365wrAAX-XubS6&_nc_ht=scontent.fmnl9-2.fna&oh=a52b37aaf85da9ef91becd004659eab8&oe=6133370B,1295,96,[]
"Q: Meron bang nag-hack sa vaccination sites niyo?

A: 133 times ang atake na ginawa, gabi pero hindi sila nagtagumpay dahil ginawa na rin nila sa akin yan about 2 months ago nung bumubulusok numero ngHigit pa nababakunahan sa Maynila. Hindi ba nila ikinalulugod kapag maraming binabakunahan, hindi ba dapat ikalugod nila dahil 'yun ay proteksyong naibigay sa tao?

Mayor Francisco 'Isko Moreno' Domagoso in an interview on DZRH's ""Dos Por Dos""

August 5, 2021",2021-08-05 21:00:42,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/221837583_1173329773151710_5479923896501935355_n.jpg?_nc_cat=104&ccb=1-4&_nc_sid=8024bb&_nc_ohc=geVPzyCsJ3IAX9ULRkR&_nc_ht=scontent.fmnl9-1.fna&oh=6b4a9d2af5331ab3b70aca988ddca319&oe=61337E42,2945,345,[]
"TINGNAN: Pingangunahan ni Manila Mayor Isko Moreno Domagoso ang pagbubukas ng dialysis center ng Sta. Ana Hospital ngayong araw ng Huwebes, ika-5 ng Agosto.

Ayon sa Alkalde, layunin ng lokal na pamahalaan naHigit pa mapaunlad ang mga medikal na pasilidad nito upang matugunan ang iba pang mga sakit habang tuloy-tuloy rin ang paglaban nito sa banta ng COVID-19.

Ang bagong dialysis center ay mayroong 11 seats at anim na hemodialysis machines, isang ECG machine, suction machine, HEPA filter, E-Cart with medications, digital wheelchair weighing scale, at mga bagong computer.

Kaya rin nitong kumalinga sa 26 na pasyente kada buwan na sumasailalim sa dialysis nang tatlong beses sa isang linggo.

Ito ang ikatlong dialysis center na itinayo ng Pamahalaang Lungsod ng Maynila. Matatagpuan ang ibang dialysis center sa Ospital ng Maynila at Gat Andres Bonifacio Memorial Medical Center.

(Photos by Christian Turingan / MPIO)

###",2021-08-05 20:00:29,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/231844229_1173331243151563_7065717532199750960_n.jpg?_nc_cat=107&ccb=1-4&_nc_sid=110474&_nc_ohc=QhCG5sDm5KsAX_tmXlg&_nc_ht=scontent.fmnl9-2.fna&oh=ecc31def6b27175a38d0d1ae1a1c2a09&oe=61332F96,921,26,[]
"#StaySafe tayo during ECQ/MECQ

Dahil ECQ in NCR (Aug 6-20) and MECQ in Laguna (Aug 1-15):

1. WALANG DISCONNECTION for NCR and Laguna during ECQ/MECQ.
2. Handa po kaming tumulong 24/7 via our online channels forHigit pa any questions or concerns. Pwede ring pag-usapan ang payment terms if needed.
3. Priority po namin ang safety and convenience ninyo. Para maiwasan ang pila at abala once ECQ/ MECQ is lifted, check our updated business center (BC) operating hours. #StaySafe and #StayHome by paying your bills ONLINE via our authorized payment partners: http://www.meralco.com.ph/paymentoptions

Ingat po tayong lahat. We will continue to do our best para tuluy-tuloy ang liwanag at pag-asa ngayong panahon ng pandemya.

(Source: Meralco)",2021-08-05 19:50:14,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/227909208_1173325386485482_7829342038305709896_n.jpg?_nc_cat=106&ccb=1-4&_nc_sid=110474&_nc_ohc=lLav8ZhT4LoAX_r-\-\uI&_nc_ht=scontent.fmnl9-1.fna&oh=c0829a5ff12025094d86d869a09b90a9&oe=6130F8C8,732,30,[]
"MAHALAGANG ABISO MULA SA KAGAWARAN NG KALUSUGAN NG MAYNILA: Wala po tayong isasagawang pagbabakuna kontra COVID-19 bukas, araw ng Biyernes, Agosto 6.

Manatiling nakatutok sa ating social media pages para saHigit pa karagdagang impormasyon hinggil sa iskedyul ng bakunahan sa Lungsod ng Maynila.

Maraming salamat po.

#AlertoManileno #COVID19PH",2021-08-05 19:14:14,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/225081200_1173303783154309_8000369989929675872_n.jpg?_nc_cat=109&ccb=1-4&_nc_sid=110474&_nc_ohc=T_6HVnRpIJ4AX_PRxxe&_nc_ht=scontent.fcrk4-1.fna&oh=e818a5a3d0a80ab1f323b8f79abf06d8&oe=6131446A,2215,228,[]
Covid Situation in Manila,2021-08-05 18:16:52,,1168,1424,[]
Covid Situation at Update sa bakunahan sa Lungsod ng Maynila,2021-08-05 17:58:16,,362,365,[]
"FAKE NEWS ALERT: Ang mall na nasa litrato ay hindi matatagpuan sa Lungsod ng Maynila.

Paki-report po bilang “fake news” ang naturang post. Maraming salamat po.

#AlertoManileno #COVID19PH",2021-08-05 16:37:13,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/233330458_1173208826497138_7468879670467403596_n.jpg?_nc_cat=103&ccb=1-4&_nc_sid=110474&_nc_ohc=Y-OyX5YvEScAX94e-Iy&_nc_ht=scontent.fmnl9-2.fna&oh=e2f8f7442589638bef167703ec7a62c2&oe=6132DD9C,2308,829,[]
,2021-08-05 14:43:41,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/233282278_1173151316502889_2127048263860329193_n.jpg?_nc_cat=109&ccb=1-4&_nc_sid=8024bb&_nc_ohc=O111id_AxmoAX-Fq1Tl&_nc_ht=scontent.fcrk4-1.fna&oh=710927b9d198ed4a283a0d19e9f91c07&oe=61340082,1714,653,[]
"BANTAY COVID-19: Narito ang datos ng COVID-19 sa Lungsod ng Maynila ngayong ika-5 ng Agosto

#AlertoManileno #COVID19PH",2021-08-05 14:00:04,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/232426029_1173087029842651_8712979297614292467_n.jpg?_nc_cat=100&ccb=1-4&_nc_sid=8024bb&_nc_ohc=Xvw2XGjRxlMAX-dqkZF&_nc_ht=scontent.fmnl9-1.fna&oh=542cdefba65299331884a18d721d21ef&oe=613445ED,430,35,[]
"Pagbubukas ng bagong Sta. Ana Hospital Dialysis Center!

#BagongMaynila",2021-08-05 13:41:37,,514,201,[]
,2021-08-05 11:05:41,,3908,1714,[]
"MAHALAGANG ABISO PARA SA LAHAT: Nagpapatuloy ngayong araw, ika-5 ng Agosto, ang pagbabakuna kontra COVID-19 sa Lungsod ng Maynila.

Kasalukuyang isinasagawa ang FIRST DOSE na pagbabakuna para sa mga kabilang saHigit pa A1, A2, A3, A4, at A5 priority groups sa Lucky Chinatown, Robinsons Place Manila, at SM Manila.

Gayunman, HINDI na po tatanggap ng mga inbidwal sa mga mall na nabanggit. Ito ay matapos umabot na sa 2,500 ang dumating sa naturang lokasyon para mabakunahan ng first dose.

Kanselado na rin po ang bakunahan sa SM San Lazaro. Ang nasabing hakbang ay ginawa upang masiguro ang kaligtasan at seguridad ng publiko matapos itong dagsain ng mga nagnanais na mabakunahan.

Samantala, tuloy-tuloy rin po ang SECOND DOSE na pagbabakuna sa San Andres Sports Complex at Ramon Magsaysay High School.

Maraming salamat po sa inyong pang-unawa.

#AlertoManileno #COVID19PH",2021-08-05 10:31:50,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/233342381_1172998463184841_8508029603771311301_n.jpg?_nc_cat=104&ccb=1-4&_nc_sid=110474&_nc_ohc=NT_2gDMZl-oAX9gYkfm&_nc_ht=scontent.fmnl9-1.fna&oh=d659ef7dfcd0240bf5eb0361f8235e19&oe=61344266,1303,420,[]
"MAHALAGANG ABISO: Kanselado na po ang bakunahan sa SM San Lazaro ngayong araw ng Huwebes, ika-5 ng Agosto.

Ang nasabing hakbang ay ginawa upang masiguro ang kaligtasan at seguridad ng publiko matapos itong dagsain ng mga nagnanais na mabakunahan.

#AlertoManileno #COVID19PH",2021-08-05 06:26:42,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/232543684_1172871989864155_2135854913936998331_n.jpg?_nc_cat=102&ccb=1-4&_nc_sid=8024bb&_nc_ohc=G5a-GKYfQhoAX9rdefH&_nc_ht=scontent.fmnl9-2.fna&oh=5eed08ed2477fa02ccc59845fcd9aa76&oe=61338254,1877,983,[]
"MAHALAGANG ABISO: Hindi na po tatanggap ng mga inbidwal na magpapabakuna ang Lucky Chinatown Mall, Robinsons Place Manila, at SM Manila ngayong araw ng Huwebes, ika-5 ng Agosto.

Ito ay matapos umabot na saHigit pa 2,500 ang dumating sa naturang lokasyon para mabakunahan ng first dose.

Maraming salamat sa inyong pang-unawa.

#AlertoManileno #COVID19PH",2021-08-05 06:09:02,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230960190_1172863446531676_1289730056008291501_n.jpg?_nc_cat=103&ccb=1-4&_nc_sid=8024bb&_nc_ohc=YWPgXp2P-NcAX94RWez&_nc_ht=scontent.fmnl9-2.fna&oh=dbf440e5a083652dc40cf2bb915ea859&oe=61331972,965,509,[]
"MAHALAGANG ABISO: Hindi na po tatanggap ng mga inbidwal na magpapabakuna ang Lucky Chinatown Mall, Robinsons Place Manila, at SM Manila ngayong araw ng Huwebes, ika-5 ng Agosto.

Ito ay matapos umabot na saHigit pa 2,500 ang dumating sa naturang lokasyon para mabakunahan ng first dose.

Maraming salamat sa inyong pang-unawa.

#AlertoManileno #COVID19PH",2021-08-05 03:38:39,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/228041437_1172779379873416_8201022274579073923_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=8024bb&_nc_ohc=v3s-CyCco3AAX8NqNXA&_nc_ht=scontent.fmnl9-2.fna&oh=da0f02d8f43741b642227e1ab3b50fdc&oe=61332B89,3294,2428,[]
"TINGNAN: Patuloy ang pag-iikot ng DPS Quick Response Team (QRT) para maghakot ng basura sa Kamaynilaan ngayong Miyerkules, Agosto 4.

Kabilang sa mga kalye at abenida na napuntahan na nila kanina ay ang Quirino,Higit pa Angel Linao, Pedro Gil, Paz, at Sta. Cruz, Rizal, Oroquieta, Yuseco, Antipolo, Leonor Rivera, Blumentritt, at Pampanga. Dumaan din sila sa Antonio Regidor Elementary School para hakutin ang mga pinutol na sanga ng puno.

#AlertoManileno",2021-08-04 21:19:59,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230285126_1172593376558683_2493708937543701843_n.jpg?_nc_cat=111&ccb=1-4&_nc_sid=110474&_nc_ohc=KB2BY7bXku4AX9TJvkV&_nc_ht=scontent.fmnl9-2.fna&oh=5f5aaa5d4fe1585027c603b4dfd2c141&oe=613251DE,287,16,[]
,2021-08-04 19:13:35,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/231438302_1172506436567377_867648006120460807_n.jpg?_nc_cat=111&ccb=1-4&_nc_sid=110474&_nc_ohc=THaejj5sLLgAX_1cdG5&_nc_ht=scontent.fmnl9-2.fna&oh=c1d444271a9e7c9dcd8fbb78bf8f590b&oe=61347C2E,2953,1202,[]
"TINGNAN: Sinimulan ng mga kawani ng MDRRMO ang misting at fogging sa Barangay 580 bandang 1:05 ng hapon ngayong Miyerkules, Agosto 4.

Kabilang ang misting at fogging sa araw-araw na ginagawang paglilinis saHigit pa Kamaynilaan. Istriktong ipinatutupad ng Pamahalaang Lungsod ito para makatulong sa pagpigil ng pagkalat ng COVID-19 at iba pang sakit.

#AlertoManileno",2021-08-04 17:00:23,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230829630_1172401679911186_1051703053005631031_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=8024bb&_nc_ohc=GEEQ14lOb_0AX8MCXBJ&_nc_ht=scontent.fmnl9-2.fna&oh=be6ac9358267a8d3e01f03dce67ee126&oe=6134798F,521,11,[]
"BANTAY COVID-19: Narito ang datos ng COVID-19 sa Lungsod ng Maynila ngayong ika-4 ng Agosto

#AlertoManileno #COVID19PH",2021-08-04 14:00:01,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230679821_1172349243249763_8184438697841018743_n.jpg?_nc_cat=105&ccb=1-4&_nc_sid=8024bb&_nc_ohc=w6WaxZtCy5oAX96hJhI&_nc_ht=scontent.fmnl9-2.fna&oh=de61f41b82da12a9df98b492fedda0b3&oe=61331205,379,28,[]
"TINGNAN: Nagpapatuloy po ngayong araw, ika-4 ng Agosto ang malawakang pagbabakuna kontra COVID-19 sa Lungsod ng Maynila.

MAHALAGANG PAALALA po para sa lahat:

Idaraos po ang pagbabakuna hanggang ika-7 ng gabi.Higit pa Hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. Nais po naming matiyak ang kaligtasan ninyo.

PAALALA PARA SA MGA UNANG NABAKUNAHAN SA HOLY TRINITY ACADEMY: Ang inyong pagbabakuna ng 2nd dose ay isasagawa sa Graciano Lopez Jaena Elementary School.

Isasagawa ang SECOND DOSE na pagbabakuna ng SINOVAC sa mga kabilang sa A1, A2, A3, A4, at A5 priority groups na una nang nabakunahan noong Hulyo 6, 2021 lamang. Idaraos ito sa apat na mall sites at 18 school sites.

Para sa lahat ng magpapabakuna, ipakita lamang po ang inyong naka print na waiver form o QR code para sa pagpapatunay.

Dalhin din ang inyong ID at huwag kalimutan ang pagsunod sa health protocols pagdating sa lugar ng bakunahan.

#AlertoManileno #COVID19PH",2021-08-04 08:27:48,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/228978568_1172220119929342_3305184661496064312_n.jpg?_nc_cat=100&ccb=1-4&_nc_sid=110474&_nc_ohc=sc3vqqhFipkAX8HdPhx&_nc_ht=scontent.fmnl9-1.fna&oh=d047458ae0e4000723dc7ac0b1afd7ae&oe=6133079C,870,95,[]
"Mga Batang Maynila!

Narito po ang datos ng pagbabakuna sa ating lungsod hanggang ngayong araw, Agosto 3 (sa ganap na ika-8 ng gabi). Pumalo na po sa 1,415,181 vaccine doses ang naiturok na sa ating mgaHigit pa kababayan sa pangunguna Kagawaran ng Kalusugan ng Maynila.

Umabot naman sa 41,513 doses ng bakunang na-deploy ngayong araw ng Linggo habang nasa 97.07% naman po sa mga nakatakdang mabigyan ng ikalawang dose ang tumanggap nito.

Sama-sama tayo tungo sa tuluyang pagsugpo sa COVID-19! Maraming salamat po sa inyong pakikiisa sa layunin ng Pamahalaang Lungsod na mabakunahan ang mas marami pang mga Manilenyo. 🙏🏼

Manila, God first! ☝️ —Mayor Isko Moreno Domagoso",2021-08-03 22:48:58,https://scontent.fmnl9-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/229708969_1171954216622599_8061470180035019635_n.jpg?_nc_cat=102&ccb=1-4&_nc_sid=110474&_nc_ohc=Z7AhC3iuSM8AX_yTaTm&_nc_ht=scontent.fmnl9-2.fna&oh=f4debcfe1ba655529499d1d31f6ef3aa&oe=6132F5A6,592,78,[]
"TINGNAN: Nagsimulang maglinis ng mga portalet ang mga kawani ng MDRRMO bandang 11:03 a.m. ngayong Martes, Agosto 3.

Kabilang sa mga nilinis nila ay ang mga portalets na nakalagay sa Quirino Grandstand, GatHigit pa Andres Bonifacio Memorial Medical Center, Patricia Sports Complex Quarantine Facility, Ospital ng Sampaloc, at Sta. Ana Hospital.

#AlertoManileno",2021-08-03 22:30:49,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/231956654_1171894553295232_4542792012983330464_n.jpg?_nc_cat=106&ccb=1-4&_nc_sid=8024bb&_nc_ohc=kR4wHbgnZQQAX-9352t&_nc_ht=scontent.fmnl9-1.fna&oh=b646e7c412c0ba19a1f13776f8d9145e&oe=61346EAF,187,9,[]
"TINGNAN: Ang DPS Team Mandaragat at DPS Baseco Beach Warriors ay nakitang naglilinis sa paligid ng Roxas Boulevard at Baseco Beach sa Port Area ngayong Martes, Agosto 3.

Araw-araw na nililinis ng DPS TeamHigit pa Mandaragat at DPS Baseco Beach Warriors ang mga nasabing lugar. Ito ay para hindi maipon ang mga basurang inaanod mula sa mga karatig-lugar.

#AlertoManileno",2021-08-03 22:00:33,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/227103962_1171893546628666_2028701974772260056_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=8024bb&_nc_ohc=y5GpV2Ecus4AX8tFUrB&_nc_ht=scontent.fcrk4-1.fna&oh=e7e9fbd731d6d89ee12f79a022d8f2c3&oe=6134C911,187,6,[]
"TINGNAN: Agad pinuntahan ng MTPB First Responder Unit (FRU) ang mga nasaktan sa aksidente sa motorsiklo na nangyari sa harap ng Kartilya ng Katipunan kahapon, Agosto 2.

Ang MTPB FRU ay handang rumesponde sa sinumang nangangailangan ng pangunang lunas o kailangan dalhin agad sa ospital.

#AlertoManileno",2021-08-03 21:02:04,https://scontent.fcrk4-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230177170_1171891719962182_2306381059776092723_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=110474&_nc_ohc=WRnycbtuZ0QAX8XGwxp&_nc_ht=scontent.fcrk4-1.fna&oh=e4c732995a19f7af14f309506fd07a04&oe=61335926,329,1,[]
"Attention. Please share with your loved ones.

Magpapatuloy po bukas, August 4, ang malawakang pagbabakuna kontra COVID-19 sa Lungsod ng Maynila.

MAHALAGANG PAALALA po para sa lahat:

Idaraos po ang pagbabakunaHigit pa hanggang ika-7 ng gabi. Hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. Nais po naming matiyak ang kaligtasan ninyo.

PAALALA PARA SA MGA UNANG NABAKUNAHAN SA HOLY TRINITY ACADEMY: Ang inyong pagbabakuna ng 2nd dose ay isasagawa sa Graciano Lopez Jaena Elementary School.

Isasagawa po ang SECOND DOSE na pagbabakuna ng SINOVAC sa mga kabilang sa A1, A2, A3, A4, at A5 priority groups na una nang nabakunahan noong Hulyo 6, 2021 lamang. Idaraos ito sa apat na mall sites at 18 school sites.

Para po sa lahat ng magpapabakuna, ipakita lamang po ang inyong naka print na waiver form o QR code para sa pagpapatunay.

Dalhin din po ang inyong ID at huwag kalimutan ang pagsunod sa health protocols pagdating sa lugar ng bakunahan. Maraming salamat po.

Manila, God first! ☝️ —Mayor Isko Moreno Domagoso",2021-08-03 18:01:36,https://scontent.fmnl9-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/230177083_1171795419971812_2963976849825958715_n.jpg?_nc_cat=100&ccb=1-4&_nc_sid=110474&_nc_ohc=j0bxJg42CmMAX_2Cxvi&_nc_ht=scontent.fmnl9-1.fna&oh=b68af8822656c76339c17d959058f078&oe=61314C83,1685,488,[]
"2nd dose vaccination para sa mga nagpabakuna ng 1st dose noong July 6, 2021

#AlertoManileno",2021-08-03 17:49:07,,746,1221,[]
